"No","規制条件","路線名","危険内容","迂回路","備考","地先名","経度","緯度","分類"
"46","通行止め：連続雨量160mm以上、時間雨量40mm以上","主要道 日置川大塔線","落石、崩土の恐れ","","区域外Ａ型１基","西牟婁郡白浜町田野井～田辺市合川","135.44779159042","33.5902573168349","異常気象時通行規制箇所"
"47","通行止め：連続雨量150mm以上、時間雨量40mm以上","主要道 すさみ古座線","落石、崩土の恐れ","","","西牟婁郡すさみ町曲利～西牟婁郡すさみ町防己","135.600619086944","33.5681832383474","異常気象時通行規制箇所"
"48","通行止め：連続雨量180mm以上、時間雨量45mm以上","主要道 串本古座川線","落石、崩土の恐れ","","","東牟婁郡古座川町下地～東牟婁郡串本町和深","135.656166387412","33.5032117577046","異常気象時通行規制箇所"
"49","","主要道 樫野串本線","強風、高潮の恐れ","","強風・越波","東牟婁郡串本町大島～東牟婁郡串本町出雲","135.788996398734","33.4579198243495","異常気象時通行規制箇所"
"50","通行止め：連続雨量200mm以上、時間雨量50mm以上","主要道 潮岬周遊線","落石、崩土の恐れ","","越波","東牟婁郡串本町串本～東牟婁郡串本町出雲","135.789156389476","33.4577798435975","異常気象時通行規制箇所"
"51","通行止め：連続雨量150mm以上、時間雨量40mm以上","主要道 那智勝浦古座川線","落石、崩土の恐れ","","","東牟婁郡古座川町小森川～東牟婁郡古座川町直見","135.771715118907","33.5434898792702","異常気象時通行規制箇所"
"52","通行止め：連続雨量160mm以上、時間雨量50mm以上","主要道 那智勝浦古座川線","落石の恐れ","","","東牟婁郡那智勝浦町南平野～古座川町那智勝浦町界","135.801929209004","33.6450892115666","異常気象時通行規制箇所"
"53","通行止め：連続雨量180mm以上、時間雨量50mm以上","主要道 那智勝浦熊野川線","落石の恐れ","","","新宮市熊野川町小口～新宮市熊野川町滝本","135.821235402084","33.7105923239795","異常気象時通行規制箇所"
"54","通行止め：連続雨量180mm以上、時間雨量50mm以上","主要道 那智勝浦本宮線","落石、冠水の恐れ","","","東牟婁郡那智勝浦町南大居～東牟婁郡那智勝浦町口色川","135.858813198636","33.6788167388382","異常気象時通行規制箇所"
"55","通行止め：連続雨量250mm以上、時間雨量50mm以上","主要道 那智山勝浦線","落石の恐れ","","","東牟婁郡那智勝浦町那智山～東牟婁郡那智勝浦町市野々","135.914609097578","33.6570904454274","異常気象時通行規制箇所"
"56","通行止め：連続雨量120mm以上、時間雨量30mm以上","主要道 高野天川線","落石、崩土の恐れ","","","伊都郡高野町高野山～和歌山・奈良県界","135.638064865522","34.2071923269677","異常気象時通行規制箇所"
"57","通行止め：連続雨量120mm以上、時間雨量30mm以上","主要道 泉佐野打田線","落石、崩土の恐れ","泉佐野岩出線","","紀の川市神通～紀の川市重行","135.370945479365","34.2873671407908","異常気象時通行規制箇所"
"58","通行止め：連続雨量150mm以上","主要道 泉佐野岩出線","落石、崩土の恐れ","","","和歌山県・大阪府界～岩出市根来","135.304141107438","34.293614906645","異常気象時通行規制箇所"
"59","通行止め：連続雨量150mm以上","主要道 和歌山貝塚線","落石、崩土の恐れ","","","和歌山市滝畑","135.273313731754","34.2957239641278","異常気象時通行規制箇所"
"60","通行止め：連続雨量150mm以上","主要道 岬加太港線","落石、崩土の恐れ","粉川加太線 （国）２６号","","和歌山県・大阪府界～和歌山市深山","135.076640997421","34.2939696874361","異常気象時通行規制箇所"
"61","通行止め：連続雨量120mm以上、時間雨量30mm以上","県道 垣内貴志川線","落石、崩土の恐れ","","","紀の川市桃山町中畑～紀の川市貴志川町井ノ口","135.323532633659","34.1963263447129","異常気象時通行規制箇所"
"62","通行止め：連続雨量120mm以上","県道 秋月海南線","落石、崩土の恐れ","","","海南市且来～海南市神田","135.230711726473","34.1662676269702","異常気象時通行規制箇所"
"63","通行止め：連続雨量150mm以上","県道 興加茂郷停車場線","落石、崩土の恐れ","","","海南市下津町加茂郷～海南市下津町曾根田","135.195656064414","34.1273612251263","異常気象時通行規制箇所"
"64","通行止め：連続雨量120mm以上","県道 大崎加茂郷停車場線","地滑りの恐れ","","","海南市下津町大崎","135.153049873268","34.1246605647893","異常気象時通行規制箇所"
"65","通行止め：連続雨量120mm以上","県道 野上清水線","落石、崩土の恐れ","","","海草郡・有田郡界～海草郡紀美野町宮ノ前","135.327644343894","34.1335835216755","異常気象時通行規制箇所"
"66","通行止め：連続雨量150mm以上、時間雨量40mm以上","県道 日の岬公園線","落石、崩土の恐れ","","越波","日高郡美浜町三尾～日高郡美浜町日ノ岬","135.078903950327","33.8906052902953","異常気象時通行規制箇所"
"67","通行止め：連続雨量160mm以上、時間雨量40mm以上","県道 近露平瀬線","落石、崩土の恐れ","","","田辺市中辺路町近露～田辺市平瀬","135.588723619141","33.7684305416522","異常気象時通行規制箇所"
"68","通行止め：連続雨量160mm以上、時間雨量40mm以上","県道 平瀬上三栖線","地滑り、落石の恐れ","","","田辺市中辺路町西谷","135.479702893417","33.7737374711567","異常気象時通行規制箇所"
"69","通行止め：連続雨量160mm以上、時間雨量40mm以上","県道 下川上牟婁線","落石、崩土の恐れ","","","田辺市鮎川～田辺市上野","135.496392971706","33.726773117854","異常気象時通行規制箇所"
"70","通行止め：連続雨量160mm以上、時間雨量40mm以上","県道 下川上牟婁線","落石、崩土の恐れ","","","西牟婁郡上富田町市ノ瀬","135.478284869389","33.7166338448694","異常気象時通行規制箇所"
"71","通行止め：連続雨量180mm以上、時間雨量45mm以上","県道 古座川熊野川線","落石、崩土の恐れ","（国）３７１号 （町）下露三河平井線","","東牟婁郡古座川町松根～東牟婁郡古座川町佐田","135.696659836932","33.5977021145482","異常気象時通行規制箇所"
"72","通行止め：連続雨量180mm以上、時間雨量50mm以上","県道 高田相賀線","落石、冠水の恐れ","","","新宮市相賀～新宮市俵石","135.917447153264","33.708924713997","異常気象時通行規制箇所"
"73","通行止め：連続雨量160mm以上、時間雨量50mm以上","県道 南平野下里停車場線","落石の恐れ","","","東牟婁郡那智勝浦町南平野～東牟婁郡那智勝浦町井鹿","135.893702763593","33.6000663397225","異常気象時通行規制箇所"
"74","通行止め：連続雨量180mm以上、時間雨量50mm以上","県道 南平野下里停車場線","落石、冠水の恐れ","","","東牟婁郡那智勝浦町南大居～東牟婁郡那智勝浦町市屋","135.918500987594","33.5890181406641","異常気象時通行規制箇所"
"75","通行止め：連続雨量160mm以上、時間雨量50mm以上","県道 静川請川線","落石、冠水の恐れ","","","田辺市本宮町平～田辺市本宮町耳打","135.78272526029","33.8163595950373","異常気象時通行規制箇所"
"76","通行止め：連続雨量200mm以上、時間雨量50mm以上","県道 日置川すさみ線","落石、冠水の恐れ","","","西牟婁郡白浜町塩野～西牟婁郡白浜町伊古木","135.463821520447","33.5492922632045","異常気象時通行規制箇所"
"114","通行止め：連続雨量250mm以上","国道 ２６号","大雨の恐れ","","","大阪府泉南郡岬町孝子～和歌山県貴志中","135.143746185616","34.2617248602828","異常気象時通行規制箇所"
"123","通行止め：連続雨量250mm以上","国道 ４２号","大雨の恐れ","","","東牟婁郡串本町田原～東牟婁郡串本町津荷","135.844509631961","33.5192442429082","異常気象時通行規制箇所"
"124","通行止め：連続雨量250mm以上","国道 ４２号","大雨の恐れ","","","東牟婁郡串本町有田～東牟婁郡串本町田並","135.723441055552","33.4886349093898","異常気象時通行規制箇所"
"125","通行止め：連続雨量250mm以上","国道 ４２号","大雨の恐れ","","","東牟婁郡すさみ町見老津～同町周参見","135.573623080678","33.5166283925101","異常気象時通行規制箇所"
"126","通行止め：連続雨量250mm以上","国道 ４２号","大雨の恐れ","","","西東牟婁郡白浜町志原～西牟婁郡白浜町富田字高瀬","135.429073785427","33.5723688979681","異常気象時通行規制箇所"
"127","通行止め：連続雨量250mm以上","国道 ４２号","大雨の恐れ","","","日高郡みなべ町山内～日高郡みなべ町東岩代","135.310967463668","33.7759534076018","異常気象時通行規制箇所"
"128","通行止め：連続雨量250mm以上","国道 ４２号","大雨の恐れ","","","日高郡日高町池田～由良町里","135.141167171864","33.9324019822838","異常気象時通行規制箇所"
"129","通行止め：連続雨量250mm以上","国道 ４２号","大雨の恐れ","","","日高郡由良町畑～有田郡広川町河瀬","135.153554406062","33.9843464078397","異常気象時通行規制箇所"
